MSN,year,quantity
ABICB,1960,0.0
ARICB,1960,193.0
ARTCB,1960,193.0
ARTXB,1960,193.0
AVACB,1960,13326.0
AVTCB,1960,13326.0
AVTXB,1960,13326.0
BDACB,1960,0.0
BDLCB,1960,0.0
BDTCB,1960,0.0
BFLCB,1960,0.0
BFTCB,1960,0.0
BMTCB,1960,0.0
BQICB,1960,0.0
BQTCB,1960,0.0
BYICB,1960,0.0
BYTCB,1960,0.0
CLACB,1960,0.0
CLCCB,1960,0.0
CLEIB,1960,0.0
CLICB,1960,0.0
CLKCB,1960,0.0
CLOCB,1960,0.0
CLRCB,1960,0.0
CLTCB,1960,0.0
CLTXB,1960,0.0
COICB,1960,0.0
DFACB,1960,1439.0
DFCCB,1960,277.0
DFEIB,1960,218.0
DFICB,1960,3225.0
DFRCB,1960,2.0
DFTCB,1960,5161.0
DFTXB,1960,4943.0
DKEIB,1960,218.0
DMTCB,1960,5161.0
ELEXB,1960,0.0
ELIMB,1960,0.0
ELISB,1960,0.0
ELNIB,1960,0.0
EMACB,1960,0.0
EMCCB,1960,0.0
EMICB,1960,0.0
EMLCB,1960,0.0
EMTCB,1960,0.0
EQICB,1960,0.0
EQTCB,1960,0.0
ESACB,1960,0.0
ESCCB,1960,1042.0
ESICB,1960,1587.0
ESRCB,1960,1754.0
ESTCB,1960,4384.0
ESTXB,1960,4384.0
EYICB,1960,0.0
EYTCB,1960,0.0
FFTCB,1960,94547.0
FNICB,1960,0.0
FOICB,1960,0.0
FSICB,1960,0.0
GDPRX,1960,0.0
GECCB,1960,0.0
GEEGB,1960,0.0
GEICB,1960,0.0
GERCB,1960,0.0
GETCB,1960,0.0
GETXB,1960,0.0
HLACB,1960,7.0
HLCCB,1960,162.0
HLICB,1960,161.0
HLRCB,1960,98.0
HLTCB,1960,428.0
HLTXB,1960,428.0
HYCCB,1960,0.0
HYEGB,1960,292.0
HYICB,1960,0.0
HYTCB,1960,292.0
HYTXB,1960,0.0
IQICB,1960,0.0
